label,top_chain,top_chain_share,unique_chain
BIOMBO,CORPORACION EL ROSADO S.A.,0.6818181818181818,2
CABECERA,TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.,0.40069686411149824,5
CHECK_OUT,MEGA SANTAMARIA S.A.,0.6929133858267716,2
CHECK_OUT_SIMPLE,TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.,1.0,1
CHECK_OUT__LATERAL_DOBLE,TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.,1.0,1
CHICLERA,TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.,1.0,1
FINAL_DE_GONDOLA,CORPORACION FAVORITA S.A,1.0,1
GANCHERA,MEGA SANTAMARIA S.A.,1.0,1
ISLA,MEGA SANTAMARIA S.A.,0.8181818181818182,2
LATERAL_DE_CABECERA,TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.,1.0,1
RUMA,TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.,1.0,1
